State,Year,Data.Totals.Violent.All
Alabama,1960,6097
Alabama,1961,5564
Alabama,1962,5283
Alabama,1963,6115
Alabama,1964,7260
Alabama,1965,6916
Alabama,1966,8098
Alabama,1967,8448
Alabama,1968,8288
Alabama,1969,8842
Alabama,1970,10185
Alabama,1971,10835
Alabama,1972,10994
Alabama,1973,12390
Alabama,1974,13338
Alabama,1975,14201
Alabama,1976,14248
Alabama,1977,15293
Alabama,1978,15682
Alabama,1979,15578
Alabama,1980,17320
Alabama,1981,18423
Alabama,1982,17653
Alabama,1983,16471
Alabama,1984,17204
Alabama,1985,18398
Alabama,1986,22616
Alabama,1987,22833
Alabama,1988,23052
Alabama,1989,24329
Alabama,1990,28630
Alabama,1991,34518
Alabama,1992,36052
Alabama,1993,32676
Alabama,1994,28844
Alabama,1995,26894
Alabama,1996,24159
Alabama,1997,24379
Alabama,1998,22286
Alabama,1999,21421
Alabama,2000,21620
Alabama,2001,19582
Alabama,2002,19931
Alabama,2003,19331
Alabama,2004,19324
Alabama,2005,19678
Alabama,2006,19553
Alabama,2007,20775
Alabama,2008,21110
Alabama,2009,21194
Alabama,2010,18363
Alabama,2011,20166
Alabama,2012,21693
Alabama,2013,20826
Alabama,2014,20727
Alabama,2015,22952
Alabama,2016,25886
Alabama,2017,25551
Alabama,2018,25399
Alabama,2019,25046
Alaska,1960,236
Alaska,1961,208
Alaska,1962,225
Alaska,1963,272
Alaska,1964,375
Alaska,1965,377
Alaska,1966,409
Alaska,1967,437
Alaska,1968,486
Alaska,1969,624
Alaska,1970,840
Alaska,1971,1112
Alaska,1972,1204
Alaska,1973,1269
Alaska,1974,1527
Alaska,1975,1900
Alaska,1976,2063
Alaska,1977,1804
Alaska,1978,1781
Alaska,1979,1994
Alaska,1980,1919
Alaska,1981,2537
Alaska,1982,2732
Alaska,1983,2940
Alaska,1984,3108
Alaska,1985,3031
Alaska,1986,3046
Alaska,1987,2391
Alaska,1988,2682
Alaska,1989,2623
Alaska,1990,2885
Alaska,1991,3499
Alaska,1992,3877
Alaska,1993,4557
Alaska,1994,4644
Alaska,1995,4656
Alaska,1996,4417
Alaska,1997,4270
Alaska,1998,4015
Alaska,1999,3908
Alaska,2000,3554
Alaska,2001,3735
Alaska,2002,3627
Alaska,2003,3877
Alaska,2004,4159
